date,CC,dr_ada,dr_bat,dr_bch,dr_bnb,dr_bsv,dr_btc,dr_dash,dr_eos,dr_etc,dr_eth,dr_ltc,dr_miota,dr_mkr,dr_neo,dr_okb,dr_ont,dr_trx,dr_usdt,dr_vet,dr_xem,dr_xlm,dr_xmr,dr_xrp,dr_xtz,dr_zec
2018-01-04,dr_bsv,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,dr_btc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,dr_dash,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,dr_eos,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,dr_etc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,dr_eth,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,dr_ltc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,dr_miota,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,dr_mkr,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,dr_neo,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,dr_okb,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,dr_ont,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,dr_trx,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,dr_usdt,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,dr_vet,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,dr_xem,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,dr_xlm,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,dr_xmr,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,dr_xrp,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,dr_xtz,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,dr_zec,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,dr_ada,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,dr_bat,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,dr_bch,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,dr_bnb,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,dr_bsv,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,dr_btc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,dr_dash,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,dr_eos,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,dr_etc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,dr_eth,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,dr_ltc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,dr_miota,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,dr_mkr,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,dr_neo,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,dr_okb,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,dr_ont,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,dr_trx,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,dr_usdt,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,dr_vet,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,dr_xem,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,dr_xlm,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,dr_xmr,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,dr_xrp,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,dr_xtz,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,dr_zec,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,dr_ada,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,dr_bat,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,dr_bch,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,dr_bnb,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,dr_bsv,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,dr_btc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,dr_dash,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,dr_eos,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,dr_etc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,dr_eth,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,dr_ltc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,dr_miota,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,dr_mkr,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,dr_neo,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,dr_okb,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,dr_ont,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,dr_trx,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,dr_usdt,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,dr_vet,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,dr_xem,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,dr_xlm,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,dr_xmr,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,dr_xrp,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,dr_xtz,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,dr_zec,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,dr_ada,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,dr_bat,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,dr_bch,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,dr_bnb,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,dr_bsv,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,dr_btc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,dr_dash,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,dr_eos,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,dr_etc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,dr_eth,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,dr_ltc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,dr_miota,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,dr_mkr,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,dr_neo,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,dr_okb,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,dr_ont,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,dr_trx,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,dr_usdt,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,dr_vet,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,dr_xem,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,dr_xlm,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,dr_xmr,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,dr_xrp,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,dr_xtz,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,dr_zec,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,dr_ada,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,dr_bat,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,dr_bch,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,dr_bnb,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,dr_bsv,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,dr_btc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,dr_dash,,,,,,,,,,,,,,,,,,,,,,,,,
